Date,Close/Last,Volume,Open,High,Low
12/21/2021,80.46,1805697,77.44,80.69,75.1559
12/20/2021,74.87,2199467,74.136,75.53,73.15
12/17/2021,77.58,2086161,76.54,79.91,75.35
12/16/2021,79.25,3000289,87.34,87.91,77.7284
12/15/2021,86.56,2727279,80.49,86.86,78.12
12/14/2021,80.22,2467264,81.28,82.947,77.2114
12/13/2021,84.34,1567423,88.81,89.35,84.00
12/10/2021,88.45,1922032,85.97,88.61,85.182
12/09/2021,83.34,1249590,85.50,87.20,83.13
12/08/2021,86.42,1299565,85.37,86.58,83.59
12/07/2021,85.26,2177658,81.79,85.55,81.4101
12/06/2021,77.28,1429894,75.63,77.87,73.37
12/03/2021,75.02,3302487,79.69,80.41,72.13
12/02/2021,79.01,1673294,74.91,80.03,74.28
12/01/2021,76.87,1940298,82.99,84.58,76.71
11/30/2021,80.22,2139771,81.33,83.56,78.11
11/29/2021,82.26,1796127,79.61,82.88,79.2201
11/26/2021,76.63,1943728,79.298,81.09,75.64
11/24/2021,82.78,1076341,79.68,82.85,78.39
11/23/2021,81.09,2027679,80.59,81.71,77.93
11/22/2021,81.66,2216407,85.68,88.76,81.41
11/19/2021,84.48,1523064,83.68,85.33,82.6416
11/18/2021,82.53,1422309,81.70,82.96,79.86
11/17/2021,80.21,1146223,80.44,81.77,79.47
11/16/2021,80.96,1277250,78.22,81.30,78.10
11/15/2021,78.52,958640,79.69,80.03,77.18
11/12/2021,78.76,979374,76.78,79.10,76.3501
11/11/2021,76.06,733732,76.45,76.65,75.63
11/10/2021,74.86,1575387,77.00,78.16,74.22
11/09/2021,78.89,1182875,80.26,80.425,77.64
11/08/2021,79.83,849022,79.44,80.21,78.76
11/05/2021,78.46,1373481,79.09,79.8788,77.08
11/04/2021,77.40,1798286,74.77,77.90,74.37
11/03/2021,73.99,984490,72.95,74.34,71.72
11/02/2021,72.72,811733,71.10,73.1691,71.10
11/01/2021,71.03,1228130,71.15,71.25,69.68
10/29/2021,71.06,1314762,68.09,71.20,67.90
10/28/2021,70.09,1152041,69.29,70.34,69.03
10/27/2021,68.09,974896,68.69,69.71,67.95
10/26/2021,68.37,1674754,69.12,69.98,68.21
10/25/2021,67.82,801248,67.74,68.47,66.98
10/22/2021,67.10,1336944,67.67,68.57,66.28
10/21/2021,67.80,898879,66.40,67.91,66.00
10/20/2021,67.04,1675988,67.77,68.09,66.1699
10/19/2021,67.57,1880973,66.16,67.61,65.79
10/18/2021,65.69,1363355,62.977,65.75,62.42
10/15/2021,64.08,1325345,63.27,64.08,62.64
10/14/2021,62.53,1254917,60.43,62.63,60.1499
10/13/2021,58.60,703191,58.29,58.95,57.1518
